first_name,last_name,admission_number,gender,date_of_birth,class_name,guardian_name,guardian_phone
John,Kamau,ADM101,male,2015-03-12,Grade 1,Mary Kamau,0712345678
Faith,Wanjiku,ADM102,female,2014-08-25,Grade 2,Peter Wanjiku,0723456789
Brian,Ochieng,ADM103,male,2013-11-04,Grade 3,Grace Ochieng,0734567890
Mercy,Akinyi,ADM104,female,2015-01-18,Grade 1,James Akinyi,0745678901
David,Mutua,ADM105,male,2012-06-30,Grade 4,Susan Mutua,0756789012
Grace,Njeri,ADM106,female,2014-02-14,Grade 2,Joseph Njeri,0767890123
Samuel,Kiprop,ADM107,male,2013-07-22,Grade 3,Alice Kiprop,0778901234
Esther,Mwangi,ADM108,female,2015-09-05,Grade 1,Daniel Mwangi,0789012345
Kevin,Otieno,ADM109,male,2012-12-01,Grade 4,Rose Otieno,0790123456
Cynthia,Wambui,ADM110,female,2011-04-18,Grade 5,Stephen Wambui,0701234567
Peter,Karanja,ADM111,male,2014-06-10,Grade 2,Agnes Karanja,0712345679
Lucy,Chebet,ADM112,female,2013-01-28,Grade 3,William Chebet,0723456790
James,Nderitu,ADM113,male,2015-11-15,Grade 1,Catherine Nderitu,0734567891
Sharon,Adhiambo,ADM114,female,2012-08-03,Grade 4,Patrick Adhiambo,0745678902
Victor,Kimani,ADM115,male,2011-10-20,Grade 5,Lydia Kimani,0756789013
Ann,Moraa,ADM116,female,2014-03-07,Grade 2,Thomas Moraa,0767890124
Dennis,Wafula,ADM117,male,2013-05-30,Grade 3,Beatrice Wafula,0778901235
Joy,Nyambura,ADM118,female,2015-07-19,Grade 1,George Nyambura,0789012346
Michael,Korir,ADM119,male,2012-02-26,Grade 4,Hannah Korir,0790123457
Angela,Waithera,ADM120,female,2011-09-14,Grade 5,Francis Waithera,0701234568
Emmanuel,Omondi,ADM121,male,2014-12-08,Grade 2,Pauline Omondi,0712345680
Diana,Cherotich,ADM122,female,2013-04-16,Grade 3,Richard Cherotich,0723456791
Collins,Maina,ADM123,male,2015-06-25,Grade 1,Mercy Maina,0734567892
Janet,Atieno,ADM124,female,2012-11-09,Grade 4,Charles Atieno,0745678903
Ian,Kibet,ADM125,male,2011-01-31,Grade 5,Doris Kibet,0756789014
Naomi,Gathoni,ADM126,female,2014-08-12,Grade 2,Simon Gathoni,0767890125
Patrick,Langat,ADM127,male,2013-10-05,Grade 3,Gladys Langat,0778901236
Ruth,Kemunto,ADM128,female,2015-04-22,Grade 1,Vincent Kemunto,0789012347
Alex,Njuguna,ADM129,male,2012-07-17,Grade 4,Florence Njuguna,0790123458
Lilian,Jepkosgei,ADM130,female,2011-03-09,Grade 5,Henry Jepkosgei,0701234569
